Body Part,Equipment Required,ID,Name,Primary Muscle Group,Duration(min),Reps,Sets,Rest Time(sec),Calories Burned,Difficulty Level,Intensity Level,Video Link,Image Link,Secondary Muscle Group,Category
back,dumbbell,625,dumbbell palm rotational bent over row,upper back,5,12,3,30,20,Beginner,Medium,,,,
upper arms,dumbbell,626,dumbbell palms in incline bench press,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,dumbbell,627,dumbbell peacher hammer curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper legs,dumbbell,628,dumbbell plyo squat,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper arms,dumbbell,629,dumbbell preacher curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,630,dumbbell preacher curl over exercise ball,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
chest,dumbbell,631,dumbbell press on exercise ball,pectorals,5,12,3,30,20,Beginner,Medium,,,,
upper arms,dumbbell,632,dumbbell pronate-grip triceps extension,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,dumbbell,633,dumbbell prone incline curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,634,dumbbell prone incline hammer curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
chest,dumbbell,635,dumbbell pullover,pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,dumbbell,636,dumbbell pullover hip extension on exercise ball,pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,dumbbell,637,dumbbell pullover on exercise ball,pectorals,5,12,3,30,20,Beginner,Medium,,,,
shoulders,dumbbell,638,dumbbell push press,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,dumbbell,639,dumbbell raise,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,dumbbell,640,dumbbell rear delt raise,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,dumbbell,641,dumbbell rear delt row_shoulder,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,dumbbell,642,dumbbell rear fly,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,dumbbell,643,dumbbell rear lateral raise,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,dumbbell,644,dumbbell rear lateral raise (support head),delts,5,12,3,30,20,Beginner,Medium,,,,
upper legs,dumbbell,645,dumbbell rear lunge,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper arms,dumbbell,646,dumbbell revers grip biceps curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
chest,dumbbell,647,dumbbell reverse bench press,pectorals,5,12,3,30,20,Beginner,Medium,,,,
shoulders,dumbbell,648,dumbbell reverse fly,delts,5,12,3,30,20,Beginner,Medium,,,,
back,dumbbell,649,dumbbell reverse grip incline bench one arm row,upper back,5,12,3,30,20,Beginner,Medium,,,,
back,dumbbell,650,dumbbell reverse grip incline bench two arm row,upper back,5,12,3,30,20,Beginner,Medium,,,,
back,dumbbell,651,dumbbell reverse grip row (female),upper back,5,12,3,30,20,Beginner,Medium,,,,
upper arms,dumbbell,652,dumbbell reverse preacher curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,653,dumbbell reverse spider curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
lower arms,dumbbell,654,dumbbell reverse wrist curl,forearms,5,12,3,30,20,Beginner,Medium,,,,
upper legs,dumbbell,655,dumbbell romanian deadlift,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
shoulders,dumbbell,656,dumbbell rotation reverse fly,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,dumbbell,657,dumbbell scott press,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,dumbbell,658,dumbbell seated alternate front raise,delts,5,12,3,30,20,Beginner,Medium,,,,
upper arms,dumbbell,659,dumbbell seated alternate hammer curl on exercise ball,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
shoulders,dumbbell,660,dumbbell seated alternate press,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,dumbbell,661,dumbbell seated alternate shoulder,delts,5,12,3,30,20,Beginner,Medium,,,,
upper arms,dumbbell,662,dumbbell seated bench extension,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
shoulders,dumbbell,663,dumbbell seated bent arm lateral raise,delts,5,12,3,30,20,Beginner,Medium,,,,
upper arms,dumbbell,664,dumbbell seated bent over alternate kickback,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,dumbbell,665,dumbbell seated bent over triceps extension,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,dumbbell,666,dumbbell seated bicep curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,667,dumbbell seated biceps curl (on stability ball),biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,668,dumbbell seated biceps curl to shoulder press,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
lower legs,dumbbell,669,dumbbell seated calf raise,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
upper arms,dumbbell,670,dumbbell seated curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
shoulders,dumbbell,671,dumbbell seated front raise,delts,5,12,3,30,20,Beginner,Medium,,,,
upper arms,dumbbell,672,dumbbell seated hammer curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,673,dumbbell seated inner biceps curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,dumbbell,674,dumbbell seated kickback,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
shoulders,dumbbell,675,dumbbell seated lateral raise,delts,5,12,3,30,20,Beginner,Medium,,,,
