Body Part,Equipment Required,ID,Name,Primary Muscle Group,Duration(min),Reps,Sets,Rest Time(sec),Calories Burned,Difficulty Level,Intensity Level,Video Link,Image Link,Secondary Muscle Group,Category
upper legs,body weight,815,glute bridge march,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,body weight,816,glute bridge two legs on bench (male),glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,body weight,817,glute-ham raise,hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
waist,body weight,818,gorilla chin,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,819,groin crunch,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
lower legs,sled machine,820,hack calf raise,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
lower legs,sled machine,821,hack one leg calf raise,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
cardio,body weight,822,half knee bends (male),cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,823,half sit-up (male),abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper legs,body weight,824,hamstring stretch,hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
chest,upper body ergometer,825,hands bike,pectorals,5,12,3,30,20,Beginner,Medium,,,,
upper legs,body weight,826,hands clasped circular toe touch (male),glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,body weight,827,hands reversed clasped circular toe touch (male),glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper arms,body weight,828,handstand,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,body weight,829,handstand push-up,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
waist,body weight,830,hanging leg hip raise,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,831,hanging leg raise,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,832,hanging oblique knee raise,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,833,hanging pike,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,834,hanging straight leg hip raise,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,835,hanging straight leg raise,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,836,hanging straight twisting leg hip raise,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
cardio,body weight,837,high knee against wall,cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,838,hip raise (bent knee),abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper legs,body weight,839,hug keens to chest,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
chest,dumbbell,840,hyght dumbbell fly,pectorals,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,841,hyperextension,spine,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,842,hyperextension (on bench),spine,5,12,3,30,20,Beginner,Medium,,,,
upper arms,body weight,843,impossible dips,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
waist,body weight,844,inchworm,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,845,inchworm v. 2,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper arms,body weight,846,incline close-grip push-up,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
waist,body weight,847,incline leg hip raise (leg straight),abs,5,15,3,30,30.62,Intermediate,Medium,,,,
chest,body weight,848,incline push up depth jump,pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,body weight,849,incline push-up,pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,body weight,850,incline push-up (on box),pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,body weight,851,incline reverse grip push-up,pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,body weight,852,incline scapula push up,serratus anterior,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,853,incline twisting sit-up,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper legs,rope,854,intermediate hip flexor and quad stretch,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
upper legs,body weight,855,inverse leg curl (bench support),hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
upper legs,body weight,856,inverse leg curl (on pull-up cable machine),hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
back,body weight,857,inverted row,upper back,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,858,inverted row bent knees,upper back,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,859,inverted row on bench,upper back,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,860,inverted row v. 2,upper back,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,861,inverted row with straps,upper back,5,12,3,30,20,Beginner,Medium,,,,
upper legs,body weight,862,iron cross stretch,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
chest,body weight,863,isometric chest squeeze,pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,body weight,864,isometric wipers,pectorals,5,12,3,30,20,Beginner,Medium,,,,
cardio,body weight,865,jack burpee,cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
cardio,body weight,866,jack jump (male),cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,867,jackknife sit-up,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,868,janda sit-up,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
cardio,rope,869,jump rope,cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
upper legs,body weight,870,jump squat,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,body weight,871,jump squat v. 2,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
waist,kettlebell,872,kettlebell advanced windmill,abs,5,15,3,30,30.62,Advanced,Medium,,,,
lower arms,kettlebell,873,kettlebell alternating hang clean,forearms,5,12,3,30,20,Beginner,Medium,,,,
shoulders,kettlebell,874,kettlebell alternating press,delts,5,12,3,30,20,Beginner,Medium,,,,
chest,kettlebell,875,kettlebell alternating press on floor,pectorals,5,12,3,30,20,Beginner,Medium,,,,
back,kettlebell,876,kettlebell alternating renegade row,upper back,5,12,3,30,20,Beginner,Medium,,,,
back,kettlebell,877,kettlebell alternating row,upper back,5,12,3,30,20,Beginner,Medium,,,,
shoulders,kettlebell,878,kettlebell arnold press,delts,5,12,3,30,20,Beginner,Medium,,,,
waist,kettlebell,879,kettlebell bent press,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper arms,kettlebell,880,kettlebell bottoms up clean from the hang position,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,kettlebell,881,kettlebell double alternating hang clean,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
shoulders,kettlebell,882,kettlebell double jerk,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,kettlebell,883,kettlebell double push press,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,kettlebell,884,kettlebell double snatch,delts,5,12,3,30,20,Beginner,Medium,,,,
waist,kettlebell,885,kettlebell double windmill,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
chest,kettlebell,886,kettlebell extended range one arm press on floor,pectorals,5,12,3,30,20,Beginner,Medium,,,,
waist,kettlebell,887,kettlebell figure 8,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper legs,kettlebell,888,kettlebell front squat,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,kettlebell,889,kettlebell goblet squat,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,kettlebell,890,kettlebell hang clean,hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
upper legs,kettlebell,891,kettlebell lunge pass through,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
shoulders,kettlebell,892,kettlebell one arm clean and jerk,delts,5,12,3,30,20,Beginner,Medium,,,,
chest,kettlebell,893,kettlebell one arm floor press,pectorals,5,12,3,30,20,Beginner,Medium,,,,
shoulders,kettlebell,894,kettlebell one arm jerk,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,kettlebell,895,kettlebell one arm military press to the side,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,kettlebell,896,kettlebell one arm push press,delts,5,12,3,30,20,Beginner,Medium,,,,
back,kettlebell,897,kettlebell one arm row,upper back,5,12,3,30,20,Beginner,Medium,,,,
shoulders,kettlebell,898,kettlebell one arm snatch,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,kettlebell,899,kettlebell pirate supper legs,delts,5,12,3,30,20,Beginner,Medium,,,,
upper legs,kettlebell,900,kettlebell pistol squat,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
chest,kettlebell,901,kettlebell plyo push-up,pectorals,5,12,3,30,20,Beginner,Medium,,,,
shoulders,kettlebell,902,kettlebell seated press,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,kettlebell,903,kettlebell seated two arm military press,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,kettlebell,904,kettlebell seesaw press,delts,5,12,3,30,20,Beginner,Medium,,,,
back,kettlebell,905,kettlebell sumo high pull,traps,5,12,3,30,20,Beginner,Medium,,,,
upper legs,kettlebell,906,kettlebell swing,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
shoulders,kettlebell,907,kettlebell thruster,delts,5,12,3,30,20,Beginner,Medium,,,,
upper legs,kettlebell,908,kettlebell turkish get up (squat style),glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
shoulders,kettlebell,909,kettlebell two arm clean,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,kettlebell,910,kettlebell two arm military press,delts,5,12,3,30,20,Beginner,Medium,,,,
back,kettlebell,911,kettlebell two arm row,upper back,5,12,3,30,20,Beginner,Medium,,,,
waist,kettlebell,912,kettlebell windmill,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper legs,body weight,913,kick out sit,hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
back,body weight,914,kipping muscle up,lats,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,915,knee touch crunch,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper legs,barbell,916,kneeling jump squat,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
back,body weight,917,kneeling lat stretch,lats,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,918,kneeling plank tap shoulder (male),abs,5,15,3,30,30.62,Intermediate,Medium,,,,
chest,body weight,919,kneeling push-up (male),pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,body weight,920,korean dips,pectorals,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,921,l-pull-up,lats,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,922,l-sit on floor,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,barbell,923,landmine 180,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
shoulders,barbell,924,landmine lateral raise,delts,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,925,lean planche,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
shoulders,body weight,926,left hook. boxing,delts,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,927,leg pull in flat bench,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper legs,body weight,928,leg up hamstring stretch,hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
upper legs,leverage machine,929,lever alternate leg press ,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
back,leverage machine,930,lever alternating narrow grip seated row ,upper back,5,12,3,30,20,Beginner,Medium,,,,
back,leverage machine,931,lever assisted chin-up,lats,5,12,3,30,20,Beginner,Medium,,,,
back,leverage machine,932,lever back extension,spine,5,12,3,30,20,Beginner,Medium,,,,
back,barbell,933,lever bent over row ,upper back,5,12,3,30,20,Beginner,Medium,,,,
back,leverage machine,934,lever bent-over row with v-bar ,upper back,5,12,3,30,20,Beginner,Medium,,,,
upper arms,leverage machine,935,lever bicep curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
lower legs,leverage machine,936,lever calf press ,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
chest,leverage machine,937,lever chest press,pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,leverage machine,938,lever chest press ,pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,leverage machine,939,lever chest press v. 2,pectorals,5,12,3,30,20,Beginner,Medium,,,,
upper legs,leverage machine,940,lever deadlift ,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
chest,leverage machine,941,lever decline chest press,pectorals,5,12,3,30,20,Beginner,Medium,,,,
lower legs,leverage machine,942,lever donkey calf raise,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
back,leverage machine,943,lever front pulldown,lats,5,12,3,30,20,Beginner,Medium,,,,
back,leverage machine,944,lever gripless shrug,traps,5,12,3,30,20,Beginner,Medium,,,,
back,leverage machine,945,lever gripless shrug v. 2,traps,5,12,3,30,20,Beginner,Medium,,,,
lower arms,leverage machine,946,lever gripper hands ,forearms,5,12,3,30,20,Beginner,Medium,,,,
upper arms,leverage machine,947,lever hammer grip preacher curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
back,leverage machine,948,lever high row ,upper back,5,12,3,30,20,Beginner,Medium,,,,
upper legs,leverage machine,949,lever hip extension v. 2,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,leverage machine,950,lever horizontal one leg press,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
chest,leverage machine,951,lever incline chest press,pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,leverage machine,952,lever incline chest press v. 2,pectorals,5,12,3,30,20,Beginner,Medium,,,,
upper legs,leverage machine,953,lever kneeling leg curl ,hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
waist,leverage machine,954,lever kneeling twist,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
shoulders,leverage machine,955,lever lateral raise,delts,5,12,3,30,20,Beginner,Medium,,,,
upper legs,leverage machine,956,lever leg extension,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
upper legs,leverage machine,957,lever lying leg curl,hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
upper legs,leverage machine,958,lever lying two-one leg curl,hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
shoulders,leverage machine,959,lever military press ,delts,5,12,3,30,20,Beginner,Medium,,,,
back,leverage machine,960,lever narrow grip seated row ,upper back,5,12,3,30,20,Beginner,Medium,,,,
back,barbell,961,lever one arm bent over row ,upper back,5,12,3,30,20,Beginner,Medium,,,,
back,leverage machine,962,lever one arm lateral high row,upper back,5,12,3,30,20,Beginner,Medium,,,,
back,leverage machine,963,lever one arm lateral wide pulldown ,lats,5,12,3,30,20,Beginner,Medium,,,,
shoulders,leverage machine,964,lever one arm shoulder press ,delts,5,12,3,30,20,Beginner,Medium,,,,
upper arms,leverage machine,965,lever overhand triceps dip,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper arms,leverage machine,966,lever preacher curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,leverage machine,967,lever preacher curl v. 2,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
back,leverage machine,968,lever pullover ,lats,5,12,3,30,20,Beginner,Medium,,,,
back,leverage machine,969,lever reverse grip lateral pulldown ,lats,5,12,3,30,20,Beginner,Medium,,,,
upper arms,leverage machine,970,lever reverse grip preacher curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
back,leverage machine,971,lever reverse grip vertical row,upper back,5,12,3,30,20,Beginner,Medium,,,,
upper legs,leverage machine,972,lever reverse hyperextension ,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
back,leverage machine,973,lever reverse t-bar row,upper back,5,12,3,30,20,Beginner,Medium,,,,
lower legs,leverage machine,974,lever rotary calf,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
lower legs,leverage machine,975,lever seated calf press,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
lower legs,leverage machine,976,lever seated calf raise ,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
waist,leverage machine,977,lever seated crunch,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,leverage machine,978,lever seated crunch (chest pad),abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,leverage machine,979,lever seated crunch v. 2,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper arms,leverage machine,980,lever seated dip,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
chest,leverage machine,981,lever seated fly,pectorals,5,12,3,30,20,Beginner,Medium,,,,
upper legs,leverage machine,982,lever seated good morning,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,leverage machine,983,lever seated hip abduction,abductors,5,12,3,30,20,Beginner,Medium,,,,
upper legs,leverage machine,984,lever seated hip adduction,adductors,5,12,3,30,20,Beginner,Medium,,,,
upper legs,leverage machine,985,lever seated leg curl,hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
waist,leverage machine,986,lever seated leg raise crunch ,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
shoulders,leverage machine,987,lever seated reverse fly,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,leverage machine,988,lever seated reverse fly (parallel grip),delts,5,12,3,30,20,Beginner,Medium,,,,
back,leverage machine,989,lever seated row,upper back,5,12,3,30,20,Beginner,Medium,,,,
shoulders,leverage machine,990,lever seated shoulder press,delts,5,12,3,30,20,Beginner,Medium,,,,
lower legs,leverage machine,991,lever seated squat calf raise on leg press machine,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
waist,leverage machine,992,lever seated twist,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
shoulders,leverage machine,993,lever shoulder press ,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,leverage machine,994,lever shoulder press  v. 2,delts,5,12,3,30,20,Beginner,Medium,,,,
shoulders,leverage machine,995,lever shoulder press  v. 3,delts,5,12,3,30,20,Beginner,Medium,,,,
back,leverage machine,996,lever shrug ,traps,5,12,3,30,20,Beginner,Medium,,,,
lower legs,leverage machine,997,lever standing calf raise,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
chest,leverage machine,998,lever standing chest press,pectorals,5,12,3,30,20,Beginner,Medium,,,,
back,leverage machine,999,lever t bar row ,upper back,5,12,3,30,20,Beginner,Medium,,,,
back,leverage machine,1000,lever t-bar reverse grip row,upper back,5,12,3,30,20,Beginner,Medium,,,,
upper arms,leverage machine,1001,lever triceps extension,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
back,leverage machine,1002,lever unilateral row,upper back,5,12,3,30,20,Beginner,Medium,,,,
back,rope,1003,london bridge,upper back,5,12,3,30,20,Beginner,Medium,,,,
upper legs,body weight,1004,low glute bridge on floor,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
back,body weight,1005,lower back curl,spine,5,12,3,30,20,Beginner,Medium,,,,
upper legs,body weight,1006,lunge with jump,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
waist,body weight,1007,lunge with twist,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper legs,body weight,1008,lying (side) quads stretch,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
waist,body weight,1009,lying elbow to knee,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,1010,lying leg raise flat bench,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,1011,lying leg-hip raise,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
chest,leverage machine,1012,machine inner chest press,pectorals,5,12,3,30,20,Beginner,Medium,,,,
upper legs,body weight,1013,march sit (wall),glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
back,medicine ball,1014,medicine ball catch and overhead throw,lats,5,12,3,30,20,Beginner,Medium,,,,
chest,medicine ball,1015,medicine ball chest pass,pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,medicine ball,1016,medicine ball chest push from 3 point stance,pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,medicine ball,1017,medicine ball chest push multiple response,pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,medicine ball,1018,medicine ball chest push single response,pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,medicine ball,1019,medicine ball chest push with run release,pectorals,5,12,3,30,20,Beginner,Medium,,,,
upper arms,medicine ball,1020,medicine ball close grip push up,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
back,medicine ball,1021,medicine ball overhead slam,upper back,5,12,3,30,20,Beginner,Medium,,,,
upper arms,medicine ball,1022,medicine ball supine chest throw,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
back,body weight,1023,mixed grip chin-up,lats,5,12,3,30,20,Beginner,Medium,,,,
chest,body weight,1024,modified hindu push-up (male),pectorals,5,12,3,30,20,Beginner,Medium,,,,
lower arms,body weight,1025,modified push up to lower arms,forearms,5,12,3,30,20,Beginner,Medium,,,,
upper legs,body weight,1026,monster walk,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
cardio,body weight,1027,mountain climber,cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,1028,muscle up,lats,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,1029,muscle-up (on vertical bar),lats,5,12,3,30,20,Beginner,Medium,,,,
upper arms,stability ball,1030,narrow push-up on exercise ball,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
neck,body weight,1031,neck side stretch,levator scapulae,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,1032,negative crunch,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,1033,oblique crunch v. 2,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,1034,oblique crunches floor,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper arms,olympic barbell,1035,olympic barbell hammer curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
upper arms,olympic barbell,1036,olympic barbell triceps extension,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
back,body weight,1037,one arm against wall,lats,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,1038,one arm chin-up,lats,5,12,3,30,20,Beginner,Medium,,,,
upper arms,body weight,1039,one arm dip,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
waist,medicine ball,1040,one arm slam (with medicine ball),abs,5,15,3,30,30.62,Intermediate,Medium,,,,
back,body weight,1041,one arm towel row,upper back,5,12,3,30,20,Beginner,Medium,,,,
lower legs,body weight,1042,one leg donkey calf raise,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
lower legs,body weight,1043,one leg floor calf raise,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
upper legs,body weight,1044,one leg squat,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
waist,weighted,1045,otis up,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper legs,body weight,1046,outside leg kick push-up,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper arms,body weight,1047,overhead triceps stretch,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
waist,body weight,1048,pelvic tilt,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper legs,body weight,1049,pelvic tilt into bridge,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
lower legs,rope,1050,peroneals stretch,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
upper legs,body weight,1051,pike-to-cobra push-up,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
chest,body weight,1052,plyo push up,pectorals,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,1053,posterior step to overhead reach,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
lower legs,rope,1054,posterior tibialis stretch,calves,7,20,3,40,42.88,Intermediate,Medium,,,,
waist,body weight,1055,potty squat,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper legs,body weight,1056,potty squat with support,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,barbell,1057,power clean,hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
waist,body weight,1058,power point plank,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,body weight,1059,prisoner half sit-up (male),abs,5,15,3,30,30.62,Intermediate,Medium,,,,
waist,stability ball,1060,prone twist on stability ball,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
back,body weight,1061,pull up (neutral grip),lats,5,12,3,30,20,Beginner,Medium,,,,
waist,stability ball,1062,pull-in (on stability ball),abs,5,15,3,30,30.62,Intermediate,Medium,,,,
back,body weight,1063,pull-up,lats,5,12,3,30,20,Beginner,Medium,,,,
chest,body weight,1064,push and pull bodyweight,pectorals,5,12,3,30,20,Beginner,Medium,,,,
cardio,body weight,1065,push to run,cardiovascular system,5,12,3,30,20,Beginner,Medium,,,,
chest,bosu ball,1066,push up on bosu ball,pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,body weight,1067,push-up,pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,bosu ball,1068,push-up (bosu ball),pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,stability ball,1069,push-up (on stability ball),pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,stability ball,1070,push-up (on stability ball),pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,body weight,1071,push-up (wall),pectorals,5,12,3,30,20,Beginner,Medium,,,,
chest,body weight,1072,push-up (wall) v. 2,pectorals,5,12,3,30,20,Beginner,Medium,,,,
upper arms,dumbbell,1073,push-up close-grip off dumbbell,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
upper legs,body weight,1074,push-up inside leg kick,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
chest,medicine ball,1075,push-up medicine ball,pectorals,5,12,3,30,20,Beginner,Medium,,,,
upper arms,body weight,1076,push-up on lower arms,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
chest,body weight,1077,push-up plus,pectorals,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,1078,push-up to side plank,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper legs,body weight,1079,quads,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
waist,body weight,1080,quarter sit-up,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper legs,body weight,1081,quick feet v. 2,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
chest,body weight,1082,raise single arm push-up,pectorals,5,12,3,30,20,Beginner,Medium,,,,
upper legs,body weight,1083,rear decline bridge,glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
shoulders,body weight,1084,rear deltoid stretch,delts,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,1085,rear pull-up,lats,5,12,3,30,20,Beginner,Medium,,,,
upper legs,rope,1086,reclining big toe pose with rope,hamstrings,8,10,3,50,68.6,Intermediate,Medium,,,,
upper legs,resistance band,1087,resistance band hip thrusts on knees (female),glutes,6,12,4,45,40.42,Intermediate,Medium,,,,
upper legs,resistance band,1088,resistance band leg extension,quads,7,12,3,40,51.45,Intermediate,Medium,,,,
upper arms,resistance band,1089,resistance band seated biceps curl,biceps,5,15,3,30,24.5,Intermediate,Medium,,,,
chest,resistance band,1090,resistance band seated chest press,pectorals,5,12,3,30,20,Beginner,Medium,,,,
upper legs,resistance band,1091,resistance band seated hip abduction,abductors,5,12,3,30,20,Beginner,Medium,,,,
shoulders,resistance band,1092,resistance band seated shoulder press,delts,5,12,3,30,20,Beginner,Medium,,,,
back,resistance band,1093,resistance band seated straight back row,upper back,5,12,3,30,20,Beginner,Medium,,,,
waist,body weight,1094,reverse crunch,abs,5,15,3,30,30.62,Intermediate,Medium,,,,
upper arms,body weight,1095,reverse dip,triceps,6,12,3,35,33.08,Intermediate,Medium,,,,
back,leverage machine,1096,reverse grip machine lat pulldown,lats,5,12,3,30,20,Beginner,Medium,,,,
back,body weight,1097,reverse grip pull-up,lats,5,12,3,30,20,Beginner,Medium,,,,
